bone,measured_mm,triangulated_mm,delta_mm,abs_delta_mm,percent_error
wrist_thumb_cmc,52.0,50.8011407004099,-1.1988592995900973,1.1988592995900973,-2.3054986530578794
thumb_cmc_mcp,38.5,32.42747806792853,-6.072521932071467,6.072521932071467,-15.772784239146667
thumb_mcp_ip,31.5,32.40647536999559,0.9064753699955901,0.9064753699955901,2.8776995872875877
thumb_ip_tip,30.0,33.90466126992353,3.9046612699235297,3.9046612699235297,13.015537566411767
wrist_index_mcp,89.7,96.7379077516449,7.0379077516448945,7.0379077516448945,7.846051005178254
index_mcp_pip,39.0,35.27311856067189,-3.7268814393281104,3.7268814393281104,-9.556106254687464
index_pip_dip,16.5,18.505703383538286,2.005703383538286,2.005703383538286,12.155778082050219
index_dip_tip,20.0,23.7710942772304,3.7710942772304,3.7710942772304,18.855471386152
wrist_middle_mcp,84.8,100.28102327290686,15.481023272906867,15.481023272906867,18.25592367088074
middle_mcp_pip,46.066,32.52346334608753,-13.542536653912471,13.542536653912471,-29.398117166483896
middle_pip_dip,21.2,23.296258693868737,2.0962586938687373,2.0962586938687373,9.888012706928006
middle_dip_tip,21.0,26.629220227487643,5.629220227487643,5.629220227487643,26.805810607084013
wrist_ring_mcp,84.2,99.9016391061339,15.701639106133896,15.701639106133896,18.648027441964246
ring_mcp_pip,43.8,30.506655230651216,-13.293344769348781,13.293344769348781,-30.350102213125073
ring_pip_dip,19.69,22.156577847030846,2.4665778470308446,2.4665778470308446,12.527058644138368
ring_dip_tip,22.7,23.628582746761698,0.9285827467616983,0.9285827467616983,4.09067289322334
wrist_pinky_mcp,80.0,88.34319381611465,8.343193816114649,8.343193816114649,10.428992270143311
pinky_mcp_pip,36.8,25.287077860945033,-11.512922139054965,11.512922139054965,-31.285114508301536
pinky_pip_dip,15.2,14.903970628534482,-0.2960293714655169,0.2960293714655169,-1.9475616543784005
pinky_dip_tip,18.0,21.01792389686301,3.01792389686301,3.01792389686301,16.766243871461167
